title,relation,predicate,str
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:pastMembers,John Pugh (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Click_consonant
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageRedirects,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageExternalLink,http://www.thedelimagazine.com/FeatureView.php%3Fartist=chkchkchk
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://th.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:currentMembers,Meah Pace (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Bassline
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://nl.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageExternalLink,http://www.zobbel.de/cluk/CLUK_NUM.HTM
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://pl.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Post-punk_revival_music_groups
http://dbpedia.org/resource/%21%21%21,direct,dbo:hometown,http://dbpedia.org/resource/California
